locality,avg_cost_by_locality,avg_rating_by_locality
"Anil Plaza, Christian Basti","1,233.33",4.3
"Vivanta By Taj, Khanapara","2,166.67",4.0
"Hotel Radisson Blu, Guwahati","1,700.00",3.9
"Paradise Hotel, Silpukhuri",650.00,3.9
"Dona Planet Mall, Christian Basti",675.00,3.8
"Food Villa, Pan Bazaar",375.00,3.8
Dispur,570.00,3.7
"The Hub, Bhangagarh",741.67,3.7
"Dynasty, Fancy Bazaar","1,933.33",3.6
"Hotel Nandan, Paltan Bazaar",883.33,3.6
"Kiranshree Portico, Paltan Bazaar","1,350.00",3.6
"Pragati Manor, Christian Basti,",900.00,3.6
"Hotel Gateway Grandeur, Christian Basti",837.50,3.5
"Hotel Blue Moon, Uzan Bazaar","2,200.00",3.4
"Hotel Rajdhani Regency, Dispur","1,100.00",3.4
"Landmark Hotel, Ulubari","1,000.00",3.4
"Uzan Bazaar",432.65,3.4
"Hotel Rajmahal, Paltan Bazaar",583.33,3.4
"Christian Basti",511.70,3.4
Ulubari,478.05,3.4
"Hotel Royal De Casa, Beltola","1,250.00",3.4
Maligaon,463.79,3.3
Beltola,356.67,3.3
"Hotel Rodali Residency",400.00,3.3
Chandmari,293.59,3.2
Silpukhuri,439.13,3.2
"Zoo Tiniali",527.94,3.2
"Narengi Tinali",362.50,3.2
Khanapara,688.00,3.2
"Six Mile",588.89,3.2
Ganeshguri,525.00,3.1
"Hotel Vandana, Paltan Bazaar",750.00,3.1
"Fancy Bazaar",567.39,3.1
"Paltan Bazaar",393.94,3.1
"Hotel President, Pan Bazaar",800.00,3.0
"Hotel Nakshatra, Beltola",900.00,3.0
"Roodraksh Mall, Bhangagarh",300.00,3.0
"Vishwaratna Hotel, Paltan Bazar","1,400.00",2.9
Bhangagarh,448.29,2.9
Hatigaon,339.66,2.9
"Hotel Geetanjali, Paltan Bazaar","1,000.00",2.9
"Ginger Hotel, Hengerabari",650.00,2.9
Amingaon,426.67,2.6
"Central Mall, Christian Basti",783.33,2.5
Kahilipara,171.67,2.3
"Cygnett Inn Repose, Bhangagarh","1,033.33",2.3
"Kala Pahar",337.50,2.2
Hengerabari,400.00,2.0
"Pan Bazaar",353.85,1.9
Bharalumukh,303.85,1.9
Jalukbari,550.00,1.8
"Hotel Lilawati Grand, Pan Bazaar",850.00,1.5
Borjhar,166.67,0.5
