res_id,name,city,locality,latitude,longitude,zipcode,cuisines,average_cost_for_two,aggregate_rating
2100707,KFC,Guwahati,Christian Basti,26.1541685785,91.7806451395,,"Burger, Fast Food",450,4.2
2100753,John's Kitchen,Guwahati,Christian Basti,26.1596809059,91.7736814544,,"Chinese, Seafood",350,4.6
2100702,Barbeque Nation,Guwahati,Ulubari,26.172261651,91.7597292736,,"North Indian, Mediterranean",1600,4.9
18657420,Piazza,Guwahati,Ulubari,26.179928655700003,91.7563205212,781007.0,"Italian, Continental, Asian, Modern Indian, Pizza",800,4.4
2100478,Terra Mayaa Restaurant and Lounge,Guwahati,"Anil Plaza, Christian Basti",26.1606508102,91.7738088593,781005.0,"Continental, Italian, Indian, Asian",1400,4.1
2100712,Mocha,Guwahati,"Anil Plaza, Christian Basti",26.1612885852,91.7740610278,781005.0,"Cafe, Italian",800,4.9
18397909,BrewBakes,Guwahati,Six Mile,26.1330681363,91.8064728007,781022.0,"Cafe, Continental, Chinese",500,4.7
18962231,Olive Garden,Guwahati,Christian Basti,26.1523109183,91.7811983859,781007.0,"Mexican, Continental, Italian",0,4.2
2100870,The Woking Mama,Guwahati,Christian Basti,26.160747409000003,91.771777086,781005.0,"Chinese, Thai, Japanese, Asian, Momos",1300,4.3
2100719,The Corner Cafe,Guwahati,Uzan Bazaar,26.1860216406,91.7567718029,,"Cafe, Continental, North Indian, Italian, Chinese, Biryani",900,4.1
2100913,Kalita Spectrum,Guwahati,Six Mile,26.1362602192,91.8024447933,781036.0,"Chinese, Biryani, Desserts",1200,4.6
2100904,Mughal Garden,Guwahati,Ulubari,26.1797556489,91.7599679902,,"Mughlai, North Indian",600,4.5
2100832,Mast Biryani,Guwahati,Zoo Tiniali,26.177648857,91.7758413032,,"North Indian, Biryani",550,4.5
2101445,The Steaming Mug,Guwahati,Uzan Bazaar,26.185663309299997,91.752842702,781001.0,Cafe,800,4.3
2100821,Raja Mircha,Guwahati,Dispur,26.138824357199997,91.7949848995,,"Assamese, Naga",400,4.8
2100644,KFC,Guwahati,Ulubari,26.172552020100003,91.7599287629,,"Burger, Fast Food",450,3.8
2100889,Street Za,Guwahati,Hatigaon,26.1371472446,91.7857336253,,"North Indian, Fast Food, Chinese",300,4.3
2101427,Rang de Basanti Urban Dhaba,Guwahati,Christian Basti,26.1554897311,91.7791645601,,North Indian,1000,4.4
2100118,The Dhaba,Guwahati,Silpukhuri,26.1847856789,91.7659674212,,"North Indian, Biryani",700,4.1
2100784,11th Avenue Cafe Bistro,Guwahati,Uzan Bazaar,26.1858534567,91.7522613332,781001.0,"Cafe, American, Italian, Continental",350,4.2
2101319,37 Street Affair,Guwahati,Khanapara,26.1336051348,91.8249924166,,"Chinese, Italian, Fast Food, Momos",400,4.2
2101020,Mising Kitchen,Guwahati,Ganeshguri,26.1513260936,91.7914581299,,North Eastern,700,4.6
2100650,KFC,Guwahati,Zoo Tiniali,26.174182586799997,91.7769091576,,"Burger, Fast Food",450,3.6
2100311,Food Exx,Guwahati,Christian Basti,26.1597940568,91.7739905789,781005.0,"North Indian, Chinese, Fast Food",600,3.9
19055804,The Table Talk Cafe,Guwahati,Uzan Bazaar,26.18592,91.75209,781001.0,Cafe,800,4.0
2100053,Khorikaa Restaurant,Guwahati,Ulubari,26.170000358600003,91.7628339306,781007.0,Assamese,500,4.2
2101537,Café Wings,Guwahati,Six Mile,26.128911,91.805764,,"Cafe, Sandwich, Fast Food, North Indian",700,3.9
2100012,Biryani Centre,Guwahati,Maligaon,26.1591807535,91.6974611208,,"Biryani, North Indian, Rolls, Momos",800,3.7
18381932,The Zouq : Resto-Cafe,Guwahati,Beltola,26.133123219699996,91.7932086065,781028.0,"Chinese, Cafe, Italian, North Indian",700,3.8
18480196,Fat Belly,Guwahati,Uzan Bazaar,26.1857204739,91.7521034181,,"Asian, Chinese, Tibetan, Momos",500,4.6
2100703,Domino's Pizza,Guwahati,Beltola,26.11736,91.80137,,"Pizza, Fast Food",400,3.9
18382720,MUGHALS – Taste Meets Tradition,Guwahati,Dispur,26.135065869699996,91.7925132438,781006.0,"Biryani, North Indian",500,3.9
18633388,Kalita Cafe,Guwahati,Six Mile,26.1362776769,91.802456528,,"Rolls, Bakery, European",1200,4.3
2100861,Underdoggs Sports Bar & Grill,Guwahati,"Central Mall, Christian Basti",26.1575198831,91.778194271,,"North Indian, Continental, Momos",1650,4.0
2100441,Momo Ghar,Guwahati,Uzan Bazaar,26.185759887399996,91.7531193048,,"Tibetan, Momos",100,4.0
2100676,Chung Fa,Guwahati,Zoo Tiniali,26.172766862600003,91.7831382528,,Chinese,800,4.2
2101413,Yanchin - Asian Restaurant,Guwahati,Khanapara,26.123156321,91.8054639548,,"Momos, Chinese",400,3.9
18674173,Recipes Train Restaurant,Guwahati,Bhangagarh,26.1616575,91.7709882813,,North Indian,700,3.9
18765148,Old Skool - Billiards and Bistro,Guwahati,Uzan Bazaar,26.1853200203,91.7548989505,,"Continental, North Indian, Chinese",800,4.1
2100552,Makhan Bhog,Guwahati,Ulubari,26.1684151709,91.7640660703,,"North Indian, Chinese, Fast Food",250,4.1
18801521,Cafe Gram,Guwahati,Zoo Tiniali,26.1801281933,91.7746446402,781003.0,"Chinese, Biryani",350,4.1
2100837,Chennai Kitchen,Guwahati,Christian Basti,26.1562441958,91.7784527689,,South Indian,200,4.3
2100074,Shanghai Salsa,Guwahati,Zoo Tiniali,26.172305582600004,91.7848572135,,"Continental, Fast Food, Chinese, Mexican",1200,4.2
18710093,Fat Belly,Guwahati,Chandmari,26.1802827923,91.7753554881,,"Chinese, Thai, Momos",500,4.4
2100875,Culina The Kitchen,Guwahati,Ulubari,26.1715984635,91.7609640956,781007.0,"Biryani, Chinese, Mongolian",1200,4.4
2101709,The Bean Journal,Guwahati,Uzan Bazaar,26.1883891265,91.7540359497,781001.0,"Cafe, Mediterranean, Chinese",600,4.2
2100565,Confucius,Guwahati,Christian Basti,26.1570838217,91.7771495506,,"Chinese, Thai",750,4.2
18654412,Domino's Pizza,Guwahati,Maligaon,26.15911399,91.68725803,,"Pizza, Fast Food",400,3.9
2100127,Pizza Hut,Guwahati,"Dona Planet Mall, Christian Basti",26.161270425300003,91.7722789943,,"Pizza, Fast Food, Italian",700,4.0
18848628,Tipsy Town,Guwahati,Zoo Tiniali,26.17186,91.77786,781024.0,"North Indian, Chinese, Italian",450,4.2
2100681,Rigbyz Cosy Kitchen,Guwahati,Bhangagarh,26.163211,91.770154,,"Momos, Chinese",400,4.3
18421803,Taii Singpho,Guwahati,Silpukhuri,26.1843888325,91.767093949,,North Eastern,500,4.4
2100416,Cafe Hendrix,Guwahati,Six Mile,26.1376733765,91.7996264622,,"Continental, Chinese, North Indian",1200,4.0
2100309,Domino's Pizza,Guwahati,Paltan Bazaar,26.17324,91.74905,,"Pizza, Fast Food",400,3.8
18702475,Nanz Cafe,Guwahati,Zoo Tiniali,26.173528738,91.7770110816,781024.0,"Cafe, Momos",800,4.4
2101943,KFC,Guwahati,Paltan Bazaar,26.1799698764,91.7513369769,,"Burger, Fast Food",450,3.9
18958779,Deja Brew,Guwahati,Zoo Tiniali,26.174935,91.776446,,"Continental, Chinese",250,4.1
2100381,Red Hot Chilli Pepper,Guwahati,Ganeshguri,26.1520203946,91.7843033373,,"Chinese, Thai",1500,4.2
2100322,4 Seasons,Guwahati,Uzan Bazaar,26.191385947399997,91.7533992603,,"Chinese, North Indian, Momos",500,4.0
2100843,JB's,Guwahati,Ganeshguri,26.1533855102,91.7814296857,,"South Indian, Fast Food, North Indian",500,4.1
2100495,Grill Republica,Guwahati,Christian Basti,26.1602725395,91.7734725773,781005.0,"Rolls, Momos, Burger",200,4.3
2100636,Domino's Pizza,Guwahati,Zoo Tiniali,26.17451387,91.77699566,,"Pizza, Fast Food",400,4.0
2100966,The Socialite,Guwahati,Christian Basti,26.1535636723,91.7805184051,781005.0,"North Indian, Continental",1200,4.1
2100108,Strawberry Fields,Guwahati,Chandmari,26.1847018466,91.7749547174,781003.0,Cafe,500,4.1
2101933,Fat Belly,Guwahati,Uzan Bazaar,26.1913594725,91.7533647269,,"Asian, Chinese, Tibetan, Momos",500,4.4
2100154,Domino's Pizza,Guwahati,"The Hub, Bhangagarh",26.16693588,91.76721096,,"Pizza, Fast Food",400,3.9
18224282,Three Guys,Guwahati,Zoo Tiniali,26.1674862553,91.7790099978,781024.0,"Continental, North Indian, Chinese, Arabian, Thai, Momos",1000,4.0
2100885,Noodle Kitchen,Guwahati,Kahilipara,26.144654634499997,91.7758875713,,"Chinese, Momos",500,4.2
18683081,Dilli 6,Guwahati,Hatigaon,26.1242550665,91.7868232727,781038.0,"North Indian, Biryani, Chinese, Mughlai",600,3.8
2101231,11th Avenue Cafe Bistro,Guwahati,Chandmari,26.1796491368,91.774129048,781003.0,"Cafe, American, Italian, Continental",350,4.3
2100700,Green Pepper's,Guwahati,Beltola,26.1303681169,91.7949268967,,"Fast Food, Chinese, Pizza",800,4.3
2100145,The Yellow Chilli,Guwahati,"The Hub, Bhangagarh",26.167021945300004,91.7669031769,781005.0,"Chinese, Continental, North Indian",1200,3.8
18643549,Oriental Bistro,Guwahati,Ulubari,26.1721283518,91.759429872,,"Thai, Japanese, Chinese, Momos",1100,4.2
18172826,Cafe Craft,Guwahati,Silpukhuri,26.1847354338,91.7672589049,,Cafe,600,4.1
2100899,Chick n Chilly,Guwahati,Hengerabari,26.1499985738,91.7889029905,,"North Indian, Chinese",500,4.0
2100714,O Maa Go,Guwahati,Ulubari,26.172437678,91.7596612126,,Bengali,800,3.6
2100464,Chick N Chilly,Guwahati,Christian Basti,26.1600787392,91.7736998946,,"Chinese, North Indian, Rolls",400,4.0
2100850,Domino's Pizza,Guwahati,Six Mile,26.13347419,91.80589378,,"Pizza, Fast Food",400,3.8
2100384,Naga Kitchen,Guwahati,Six Mile,26.1374419149,91.800172627,,"Naga, Chinese",800,3.9
2100365,JB's,Guwahati,Fancy Bazaar,26.1813274438,91.7365982383,,"South Indian, Fast Food, North Indian",500,3.9
